id_training_lesson,id_training_unit,vc_training_lesson,vc_training_lesson_description,is_available,dt_start_available,vc_lesson_unit_url,vc_lesson_unit_img,dt_created
1,1,"Switch/ cambio de guardia","Switch y cambio de guardia hacia atrás y adelante.",1,"2020-04-01 00:00:00",https://360kravmagamonterrey.com/video/lesson1.mp4,img/360Network_blanco.png,"2020-04-05 03:00:00"
2,1,"Postura de Guardia de Combate","La guardia es para defender todo tipo de ataques en combate cuerpo a cuerpo, contra derribes y ataques a mano armada. Por lo tanto es importante mantener: 1 Piernas separadas. 2 -Cuerpo cargado hacia adelante. 3 - Manos cubriendo la cabeza.",1,"0000-00-00 00:00:00",https://360kravmagamonterrey.com/video/lesson2.mp4,img/360Network_blanco.png,"2020-04-06 02:32:44"
3,1,"Desplazamientos en guardia de combate","La clave durante los desplazamientos es mantener la postura sin importar hacia donde nos estamos moviendo, es importante no cruzar piernas o juntarlas, ya que esto te desequilibra.",1,"0000-00-00 00:00:00",https://360kravmagamonterrey.com/video/lesson3.mp4,img/360Network_blanco.png,"2020-04-06 18:24:58"
4,1,"Mantener distancia 1 a 4","Mantener Distancia (1-4)",1,"0000-00-00 00:00:00",https://player.vimeo.com/video/423448211,img/360Network_blanco.png,"2020-04-06 18:24:58"
5,1,"Tres golpes básicos (jab, cruzado y gancho)","Estos tres golpes básicos son la base de las combinaciones en nivel 1. Esto es para mantener un orden en las prácticas que verás aquí. El jab siempre es con el brazo de adelante; el cruzado, con el brazo de atrás; el gancho volado, con el brazo de adelante.",1,"0000-00-00 00:00:00",https://360kravmagamonterrey.com/video/lesson5.mp4,img/360Network_blanco.png,"2020-04-06 18:24:58"
6,1,"Movimiento y Golpeo","Cuando el movimiento incluye golpeo, es importante recordar que primero debo realizar el desplazamiento y después el golpeo.",1,"0000-00-00 00:00:00",https://360kravmagamonterrey.com/video/lesson6.mp4,img/360Network_blanco.png,"2020-04-14 11:26:15"
7,1,"Swipe/Under (movimiento de cabeza)","El movimiento de cabeza tiene como objetivo dificultar a tu oponente la capacidad de golpes por lo que tu cabeza debe de salir del centro. Los swipes son laterales, mientras los unders latitudinales.",1,"0000-00-00 00:00:00",https://player.vimeo.com/video/421327822,img/360Network_blanco.png,"2020-04-14 11:26:15"
8,1,"Patada frontal","Esta patada debe de ser pensada como un latigazo, la cual empieza al levantar la rodilla y de ahí la espinilla, para hacer contacto con la bola del pie, buscando atacar partes vulnerables con velocidad.",1,"0000-00-00 00:00:00",https://360kravmagamonterrey.com/video/lesson8.mp4,img/360Network_blanco.png,"2020-04-14 11:26:16"
9,1,"Patada ascendente","Patada muy particular de Krav Maga, su propósito es atacar genitales, haciendo uso de la espinilla.",1,"0000-00-00 00:00:00",https://360kravmagamonterrey.com/video/lesson9.mp4,img/360Network_blanco.png,"2020-04-14 11:26:16"
10,1,"Pata giratoria o Roundhouse","La patada giratoria debe de ser pensada como un batazo. Se debe de girar sobre la bola del pie y levantando el talón del pie pivote. Después, girar la cadera y hacer contacto con la espinilla. Además, cuidar que el torso también gire con todo el cuerpo para que sea la mayor cantidad de fuerza al momento de hacer la patada.",1,"0000-00-00 00:00:00",https://360kravmagamonterrey.com/video/lesson10.mp4,img/360Network_blanco.png,"2020-04-14 11:26:16"
